ID,age,gender,usage_meeting_place,usage_worship,usage_arts,usage_wellbeing,usage_connections,usage_model_sustainability,usage_flexible_community/church,activities_like_to_see,usage_services,usage_festivals,reflection,usage_suggestions,modify_exterior,modify_interior,modify_sustainable_building,modify_layout_change,modify_cafe,modify_suggestions,contribute
3,31 - 49,Female,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,A toddler group;Fitness / yoga / pilates / dance classes;Community book club;Community cinema;,Neutral,Agree,Disagree,,Agree,Strongly Agree,Neutral,Agree,Disagree,,No thanks
4,50 - 70,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;Activities for young people;,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
5,50 - 70,male,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Community book club;,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I would love to see a community hub and arts activities more than anything to see the building used by the community as a place for all of us to come together and connect ,YES -  I would be interested in becoming a volunteer
6,50 - 70,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Creative writing;Live theatre;Community cafe;Community cinema;Community social events;Activities for seniors;,Neutral,Neutral,Agree,,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
7,50 - 70,Male,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly disagree,Strongly Agree,Drama;Creative workshops;Arts exhibitions;Creative writing;Music / singing classes;Live theatre;Community cinema;Pop-up fruit and veg weekly market;Community book club;,Neutral,Neutral,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,YES -  I would be interested in becoming a volunteer
8,50 - 70,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Live music;Arts exhibitions;Creative workshops;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community social events;Community cookery;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
9,31 - 49,Female,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Live music;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Fitness / yoga / pilates / dance classes;Photography;Creative workshops;,Neutral,Disagree,Disagree,"A space for other pop up events, such as 'Ted talks' style presentations which people may be interested in, and also a space for PCSOs to drop into to link in with the community. ",Agree,Agree,Strongly Agree,Agree,Agree,Suggestions in previous box ,YES -  I would be interested in becoming a volunteer
10,31 - 49,Female,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Community cafe;Community coffee mornings;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Activities for children;After school club;Activities for young people;,Neutral,Neutral,Strongly Agree,A space for young people to meet and interact. Discuss interests and seek support from one another.,Agree,Neutral,Neutral,Neutral,Strongly Agree,"A space for families to meet and share experiences. 

For young people to meet and interact with others within the area. 

Drop in sessions available for young people or struggling parents to meet with professionals/seek advice/be signposted to services.",No thanks
11,31 - 49,male,Strongly Agree,Strongly disagree,Agree,Agree,Strongly Agree,Agree,Neutral,Live music;Live theatre;Community cafe;Community cinema;Community social events;Arts exhibitions;Photography;,Neutral,Agree,Neutral,,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
12,70 +,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community social events;Activities for seniors;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,No thanks
